Title,Link,Review
18 Again,https://mydramalist.com/52941-eighteen-again,Beginning was a little too much of a direct copy from the American movie but then it diverges nicely. Lee do hyun really carries this show and I mostly watched it for him. Overall it’s really wholesome. Happy ending. A couple boring parts and could have been 12 eps but a pleasant watch overall.
A Good Day to Be a Dog,https://mydramalist.com/49997-a-good-day-to-be-a-dog,i really liked this show at the beginning. the story line of them falling in love and her hiding her secret was all really fun and cute. but then the second half of the show pivoted to be about their past lives and the mountain god’s revenge plot and it lost me. the entire revenge ended up being a misunder which was just annoying. i ffw through some parts at the end. it felt like two different shows. had a few good kiss scenes tho.
A Killer Paradox,https://mydramalist.com/729303-the-murderer-and-the-toy,"Started off strong, but then the focus shifted away from the main character to the detective and the other killer. it started to feel rushed like they were putting too much content into eight episodes. seems like they set it up for a second season, which i would probably watch because i like the main actor, but this drama wasn’t anything to write home about."
A Love So Beautiful,https://mydramalist.com/63483-a-love-so-beautiful,Way too cheesy and all the characters are too childish and immature for me to be invested in them. Theme song was kinda catchy tho lol.
A Time Called You,https://mydramalist.com/689831-someday-or-one-day,"GAY SUBPLOT BETWEEN AHN HYO SEOP AND ROWOON?? i was shooketh.
that alone makes this a memorable
drama lol. but that aside, the story is really interesting and this was binge
material for sure. ahn hyeo seop was so cute in it, and the female lead had incredible range playing two diff characters. the time travel logic definitely needed work, and the ending didnt make a ton of sense (for ex: if the casette player and tape was destroyed in 1998, then why does jun-hee have it in the future?) but the focus was more on the romance and “destiny” than on the mechanics of time travel. id give anything for a rowoon/ahn hyo seop gay spin off tho!!!"
A Virtuous Business,https://mydramalist.com/766207-quiet-sales,"a funny and sweet show full of friendship and female empowerment. loved the sex positivity and the 90s nostalgia. the friendship of the four main women was so heartwarming and seeing them support each other through thick and thin was really sweet. the romance between the FL and ML was also sweet and i liked that it wasnt the main focus of the show. there is a cold case mystery plot but this really was more of a slice of life comedy with some melodrama thrown in. the ending was a little
bit abrupt but i think 16 episodes could have dragged so im overall satisfied."
Alchemy of Souls,https://mydramalist.com/52939-can-this-person-be-translated,Some major highs and lows. Love the main couple and it’s an interesting story and has good world building. But some of the writing/plot is pretty bad and the ending was badly written and very deus ex machina. Fun watch tho. Will watch the second part.
Alchemy of Souls Season 2: Light and Shadow,https://mydramalist.com/733261-alchemy-of-souls-part-2,"Didn’t love the second season. A lot of the charm of s1 was missing. I missed Somin as the FL. The scene with Kim Doju and Park Jin was a major tearjerker, but glad that the season had a happy ending for everyone. Also had some very good kisses."
All of Us Are Dead,https://mydramalist.com/59449-our-school-now,"Some bright moments, but overall this drama was just okay. The dialogue and acting of the kids kind of felt flat for me and I wasn’t attached to any of them. But did have some good cliffhangers and action to keep me watching and I teared up at a couple moments."
Be Melodramatic,https://mydramalist.com/26488-the-nature-of-a-melo,"This drama is so special. Every character has so much depth and is delightfully weird and complicated. Each relationship, even the side couples, is interesting and compelling in their own way. The main couple is surprisingly sweet and has a lot of chemistry. It might be one of my favorite romances ever. It was delightfully slow burn, but with depth and cuteness and humor. Gave me fanny flutters for sure.

The oppa scene made me laugh so hard. The whole fart episode was so funny. So many scenes made me cry. It’s so relatable but also so meta and and the plot truly kept me guessing the whole time. Each episode I was just along for this delightful, odd, heartwarming ride. 

The kiss scenes for the actress/manager couple were also fire and the OST was so good. A slow start at the beginning, and I initially dropped it, but I’m so glad I gave this drama another chance."
Because This Is My First Life,https://mydramalist.com/24678-because-this-is-my-first-life,Good example of a trope done well. Like that it centers around women. Has some hilarious moments. Good romance and kiss scenes. Like the odd couple dynamic of the leads. Didn’t love the third couple they were kind of annoying
Bloodhounds,https://mydramalist.com/701881-hounds,"Plot left something to be desired, and ended quite abruptly. Would have liked more character and plot development. Also super brutal when the grandpa and his two guys were killed off. But LOVED the main two actors and their friendship. Watching them beat up a bunch of criminals was quite satisfying….also the younger one is adorable and very good looking."
Brewing Love,https://mydramalist.com/766237-in-the-name-of-alcohol,"I went into this drama not knowing what to expext because the description was weird but I was very pleasantly surprised. The male lead might be the greenest flag ever written in a kdrama. I really enjoyed the aspects of him being an empath and being able to sense other people’s emotions. There were some really raw emotional scenes in this drama. There were also some very sweet slice of life ensemble cast elements to this drama too. Overall I liked both couple romances, though I wish there was a bit more cute time spent focusing on relationship development and cuteness and a little less on the plot surrounding the beer product launch. However, there were some good workplace plot lines in there (and anti-capitalist/pro-worker themes) that I appreciated. A fun main OST song too. Also, the male lead is very pretty. Overall a fun watch with a more healing, slow pace but enough cute moments to keep you invested."
Business Proposal,https://mydramalist.com/693591-in-house-confrontation,"One of the best rom coms I’ve ever watched. Chemistry between both couples is 10/10. Made me literally LOL. No stupid plot points, just pure fun and satisfaction. Sad it ended."
Castaway Diva,https://mydramalist.com/745215-diva-of-the-deserted-island,started off really strong - the first 1-2 episodes especially. but it got kind of boring in the middle/end and i found myself fast forwarding a good amount. sometimes i fast forwarded just to find out what would happen. but this did have some bright spots - the main male lead is very sweet. the female lead is interesting but kind of annoying at times. the scenes with her singing on stage were great though. had a wholesome ending which i appreciated. good kiss scene between the leads too but i wish theyd had more cute couple scenes. the emphasis was not on romance though - it was more on self discovery and family.
Celebrity,https://mydramalist.com/708775-celebrity,"interesting commentary on social media and influencer culture. started off a tad boring but quickly became super interesting. could be very dramatic at times but was a fun, interesting watch with lots of twists near the end. also loved the junho cameo at the end (even though it was kinda confusing)"
Cheer Up,https://mydramalist.com/715821-cheer-up,"Extremely wholesome show. Some parts made me tear up and smile so much. A bit too much melodrama at times, didn’t love the love triangle. Fast forwarded the scenes with the old couple bc they were boring. Lots of other cute side couples though. And a really wholesome sweet ending."
Cheese in the Trap,https://mydramalist.com/14457-cheese-in-the-trap,So bad. So much stalking and violence against women. Male lead is a sociopath and does wrong every episode yet FL stays with him DESPITE the fact that she initially in episode one sees through him and knows he’s manipulative. ML is never held accountable literally throughout the whole series. College drama is boring. All characters suck except for SML who is the only redeeming part of this drama
Chicken Nugget,https://mydramalist.com/707561-chicken-gangjeong,"Plot is utterly ridiculous but oddly heartwarming. I was surprised that this show actually make me tear up on multiple occasions. Also very funny, plus had some good social commentary. All the actors were great too. Definitely an offbeat, quirky show but it was very fun to watch."
Cinderella and the Four Knights,https://mydramalist.com/16119-cinderella-and-the-four-knights,Has its cute moments but a bit too cheesy and tropey. Nothing stand out but I didn’t want to drop it.
Cinderella at 2 AM,https://mydramalist.com/756753-cinderella-at-2-am,"started off very cute with an interesting premise but then the premise got kind of old after a while. the first 6-8 episodes are basically the main couple having the same conversation about whether or
not to break up over and over again. i did like the male lead a lot and the second couple was surprisingly cute, but the rest of the side characters were annoying. overall it had cute moments, good kiss scenes, and a fun OST but was just your average romcom kdrama."
Crash Course in Romance,https://mydramalist.com/723711-one-shot-scandal,"Started off really really strong but eventually it totally missed the mark. Marketed itself as romance but was actually about mental health and suicide, with a murder plot. But then it transitioned back to fluffy romance at the end in a way that felt completely jarring and tone deaf. Could have been a lot better but was just average for me."
Crash Landing on You,https://mydramalist.com/35729-emergency-lands-of-love,"Another drama that has it all - romance, humor, action, tears, and a great ensemble cast. The kdrama that truly made me fall in love with kdramas."
D.P.,https://mydramalist.com/59001-d-p-dog-day,Underrated drama. Brilliant acting with an interesting story. Loved the diff vignettes of the defected soldiers. Jung hae in and his co lead are great. Could be a bit boring at times.
D.P. Season 2,https://mydramalist.com/713549-d-p-season-2,"Very well done drama, a good continuation of season 1. Jung hae in is always great, his co-lead lost a bit of his charm in s2 (but was dealing eith PTSD). Ending was sad in that nothing really changed but it felt realistic. Season 1 was probably better but this was still good."
Dali and the Cocky Prince,https://mydramalist.com/687131-dali-and-gamjatang,"Cute romance, some funny moments, but the plot got too melodramatic most of the time. I wish there was more romance and less about the plot. Good kiss scenes tho! And an implied sex scene that was well done too"
Death's Game,https://mydramalist.com/733445-i-will-die-soon,"There was a lot of hype around this show and I finally got around to watching it. I was especially excited about the all star cast and the rotating roster of cameos. But it was a huge letdown and was highly over-rated. It felt like a very heavy handed PSA against suicide without any real or nuanced deep dive into mental health or depression. And then it went from survival game to revenge plot, and all the twists became a bit too convenient toward the later episodes. Plus, there were major plot holes like why some reincarnations were not linear and why the main character did not change his fate during the 11th reincarnation when he was in the body of the man who ran into traffic on his interview day, setting off the initial chain of events. That made no sense, since Death told him he couldnt kill himself, but he literally did as that man. This drama falls into the same bucket as Squid Game — overly hyped action/thriller/horror drama on a major streaming platform that isn’t actually that original but follows a more ‘western’ TV formula that means it’ll probably end up being a crowd pleaser."
Destined with You,https://mydramalist.com/734875-irresistible-love,"writing/plot had some major issues and holes here and there but ROWOON IS SO ADORABLE. he reallt hit his stride in this. the beginning episodes where he’s under the love spell are particularly adorable. also, this drama had one of the steamiest and most well doje sex scenes ive seen in kdramas. i will say, some of the side character plots felt useless and boring like with the mom/dad/lawyer and the orher office romance. overall its a fun watch."
Do You Like Brahms?,https://mydramalist.com/56911-do-you-like-brahms,Good kiss scenes. But super melodramatic and boring. Lots of dumb couple miscommunication. Main leads are boring. Whole plot is boring. Fast forwarded through the last few eps bc I didn’t care anymore.
Doctor Cha,https://mydramalist.com/718109-doctor-cha-jung-sook,"Started off really good but I got a bit annoyed with how everyone lies to her and Dr. Cha is so apologetic all the time…having said that, had some hilarious moments especially in the beginning and middle. Happy ending."
Doctor Slump,https://mydramalist.com/744311-doctor-slump,"such a beautiful, heartwarming, healing drama. the male lead is amazing — one of my favorite actors. he does romantic comedy so well. the female lead was also good — she was relatable and i was rooting for her throughout the drama. the ensemble cast, including the second couple and the family, were also great. i loved that the show dealt honestly with mental health. the drama made me laugh and also cry. after finishing i was so emotional and cried happy tears. nice ending. a drama ill be thinking about for a while."
Doona!,https://mydramalist.com/723247-lee-doo-na,"this reminded me of something in the rain: very romantic, couple has chemistry but is slightly more toxic than SITR, life gets in the way of their relationship, ambiguous open ended ending. Some of the cinematography is beautiful. The kiss/sex/emotional love confession scenes are very well done. the leads are good. bur a lot if underdeveloped and the plot suffers from classic kdrama character miscommunication. i mean, did doona really expect wonjun to be totally fine after she made a comeback and literally went radio silent for however long? so she was hella frustrating for sure. but at the same time, their scenes together did give me the feels and the male lead made me shed a tear. i wish it had been a happier ending, tho it wasnt a totally sad one."
