Title,Korean Title,Translated Title,Year,Link,Review,Rating,Image,Score,Synopsis,Genres,Reviews_Clean,Polarity_Score,sentiment_female lead,sentiment_FL,sentiment_second female lead,sentiment_male lead,sentiment_ML,sentiment_second male lead,sentiment_cast,sentiment_main leads,sentiment_ensemble cast,sentiment_couple,sentiment_side couples,sentiment_plot,sentiment_story,sentiment_beginning,sentiment_ending,sentiment_romance,sentiment_acting,sentiment_kiss,romance,kiss,steamy,comedy,melodrama,wholesome,sad,slow burn,tropey,action,OST,bingeworthy,top,bad
18 Again,18 어게인,Eighteen Again,2020,https://mydramalist.com/52941-eighteen-again,Beginning was a little too much of a direct copy from the American movie but then it diverges nicely. Lee do hyun really carries this show and I mostly watched it for him. Overall it’s really wholesome. Happy ending. A couple boring parts and could have been 12 eps but a pleasant watch overall.,8.0,https://i.mydramalist.com/xnNnq_4t.jpg,8.6,"Jung Da Jeong and Hong Dae Yeong have been married for almost two decades, raising their twins together. Despite appearances, their life is far from ideal, filled with Dae Yeong's incessant nonsense. When he gets fired, and Da Jeong can't take it anymore, she files for divorce. This drastic step forces Dae Yeong to reflect on his life and all his regrets. Suddenly, he transforms into an eighteen-year-old with the same middle-aged mind. Renaming himself Ko U Yeong, he enrolls in his children's school, gaining a new perspective on life. (Source: MyDramaList) ~~ Remake of the American film “17 Again"" [2009].","['Romance', 'Life', 'Drama', 'Fantasy']","['beginning', 'little', 'much', 'direct', 'copy', 'american', 'movie', 'diverges', 'nicely', 'lee', 'hyun', 'really', 'carry', 'show', 'mostly', 'watched', 'overall', 'really', 'wholesome', 'happy', 'ending', 'couple', 'boring', 'part', 'could', '12', 'eps', 'pleasant', 'watch', 'overall']",0.16215277777777778,,,,,,,,,,0.07847222222222221,,,,0.08107638888888889,0.07847222222222221,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0
A Good Day to Be a Dog,오늘도 사랑스럽개,A Good Day To Be A Dog,2023,https://mydramalist.com/49997-a-good-day-to-be-a-dog,i really liked this show at the beginning. the story line of them falling in love and her hiding her secret was all really fun and cute. but then the second half of the show pivoted to be about their past lives and the mountain god’s revenge plot and it lost me. the entire revenge ended up being a misunder which was just annoying. i ffw through some parts at the end. it felt like two different shows. had a few good kiss scenes tho.,6.5,https://i.mydramalist.com/4ewNdd_4t.jpg,7.7,"Han Hae Na, a single high school teacher, is cursed due to a family secret. Anyone in her family who kisses someone transforms into a dog at midnight for six hours, repeating until they kiss the same person again. To avoid this, she warns men not to kiss her, leading them to leave. One night, drunk, she accidentally kisses Jin Seo Won, a colleague, and soon panics, trying to get him to kiss her again. However, Seo Won has a fear of dogs. (Source: MyDramaList) ~~ Adapted from the webtoon ""A Good Day to Be a Dog"" (오늘도 사랑스럽개) by Lee Hey (이혜).","['Comedy', 'Romance', 'Fantasy', 'Supernatural']","['really', 'liked', 'show', 'beginning', 'story', 'line', 'falling', 'love', 'hiding', 'secret', 'really', 'fun', 'cute', 'second', 'half', 'show', 'pivoted', 'past', 'life', 'mountain', 'god', 'revenge', 'plot', 'lost', 'entire', 'revenge', 'ended', 'misunder', 'annoying', 'ffw', 'part', 'end', 'felt', 'like', 'two', 'different', 'show', 'good', 'kiss', 'scene', 'tho']",0.06025641025641025,,,,,,,,,,,,0.03770833333333332,0.30763888888888885,0.30763888888888885,,,,0.030128205128205125,1,1,0,0,0,0,0,0,0,0,0,0,0,0
A Killer Paradox,살인자ㅇ난감,The Murderer And The Toy,2024,https://mydramalist.com/729303-the-murderer-and-the-toy,"Started off strong, but then the focus shifted away from the main character to the detective and the other killer. it started to feel rushed like they were putting too much content into eight episodes. seems like they set it up for a second season, which i would probably watch because i like the main actor, but this drama wasn’t anything to write home about.",6.5,https://i.mydramalist.com/WPrA7W_4t.jpg,7.8,"The story follows Lee Tang, an ordinary college student, who gets into an argument with a customer during a part-time job at a convenience store at night, unconsciously swings a hammer, and kills him. Suffering from guilt and fear of murder, Lee Tang learns one day that the person he killed was a serial killer and slowly realizes that he has a supernatural ability to identify ""bad seeds"". He soon becomes a dark hero who punishes people who committed unethical evils in the past. A cold-blooded, charismatic and persistent detective starts to chase Lee Tang. (Source: nbntv.co.kr) ~~ Adapted from the webtoon ""Sarinjaonangam"" (살인자ㅇ난감).","['Thriller', 'Mystery', 'Psychological', 'Comedy']","['started', 'strong', 'focus', 'shifted', 'away', 'main', 'character', 'detective', 'killer', 'started', 'feel', 'rushed', 'like', 'putting', 'much', 'content', 'eight', 'episode', 'seems', 'like', 'set', 'second', 'season', 'would', 'probably', 'watch', 'like', 'main', 'actor', 'drama', 'wasnt', 'anything', 'write', 'home']",0.14027777777777778,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A Love So Beautiful,아름다웠던 우리에게,A Love So Beautiful,2020,https://mydramalist.com/63483-a-love-so-beautiful,Way too cheesy and all the characters are too childish and immature for me to be invested in them. Theme song was kinda catchy tho lol.,4.0,https://i.mydramalist.com/vEzgB_4t.jpg,7.7,"Cha Heon, a handsome and smart student at Chun Ji High School, seems cold but has a warm heart he struggles to express. Sin Sol I, a cheerful 17-year-old, has a crush on Cha Heon and openly confesses her love. Woo Dae Seong, a talented swimmer who transfers to the school, secretly falls for Sol I and quietly supports her. (Source: MyDramaList) ~~ Adapted from the web novel ""A Love So Beautiful"" (致我们单纯的小美好) by Zhao Qian Qian (赵乾乾).","['Comedy', 'Romance', 'Life', 'Youth']","['way', 'cheesy', 'character', 'childish', 'immature', 'invested', 'theme', 'song', 'kinda', 'catchy', 'tho', 'lol']",0.03333333333333336,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A Time Called You,너의 시간 속으로,Someday Or One Day,2023,https://mydramalist.com/689831-someday-or-one-day,"GAY SUBPLOT BETWEEN AHN HYO SEOP AND ROWOON?? i was shooketh.
that alone makes this a memorable
drama lol. but that aside, the story is really interesting and this was binge
material for sure. ahn hyeo seop was so cute in it, and the female lead had incredible range playing two diff characters. the time travel logic definitely needed work, and the ending didnt make a ton of sense (for ex: if the casette player and tape was destroyed in 1998, then why does jun-hee have it in the future?) but the focus was more on the romance and “destiny” than on the mechanics of time travel. id give anything for a rowoon/ahn hyo seop gay spin off tho!!!",8.5,https://i.mydramalist.com/BdpgYz_4t.jpg,8.4,"Han Jun Hee's boyfriend Koo Yeon Jun died one year ago. She still hasn't gotten over his death and misses him a lot. One day, she somehow travels back in time to the year 1998 and finds herself as high school student Kwon Min Joo. There, she meets high school student Nam Si Heon. She is surprised to see how much Nam Si Heon resembles her late boyfriend Koo Yeon Jun. Nam Si Heon is outgoing and attractive; girls adore him. His best friend Jung In Kyu develops a crush on Kwon Min Joo. (Source: AsianWiki; edited by MyDramaList)","['Thriller', 'Mystery', 'Romance', 'Fantasy']","['gay', 'subplot', 'ahn', 'hyo', 'seop', 'rowoon', 'shooketh', 'alone', 'make', 'memorable', 'drama', 'lol', 'aside', 'story', 'really', 'interesting', 'binge', 'material', 'sure', 'ahn', 'hyeo', 'seop', 'cute', 'female', 'lead', 'incredible', 'range', 'playing', 'two', 'diff', 'character', 'time', 'travel', 'logic', 'definitely', 'needed', 'work', 'ending', 'didnt', 'make', 'ton', 'sense', 'ex', 'casette', 'player', 'tape', 'destroyed', '1998', 'junhee', 'future', 'focus', 'romance', 'destiny', 'mechanic', 'time', 'travel', 'id', 'give', 'anything', 'rowoonahn', 'hyo', 'seop', 'gay', 'spin', 'tho']",0.4525390625000001,0.4894357638888889,,,0.4894357638888889,,,,,,,,0.43623342803030307,0.4924334490740741,,0.4476707175925927,0.6167495265151516,,,1,0,0,0,1,0,0,0,0,0,0,1,0,0
A Virtuous Business,정숙한 세일즈,Quiet Sales,2024,https://mydramalist.com/766207-quiet-sales,"a funny and sweet show full of friendship and female empowerment. loved the sex positivity and the 90s nostalgia. the friendship of the four main women was so heartwarming and seeing them support each other through thick and thin was really sweet. the romance between the FL and ML was also sweet and i liked that it wasnt the main focus of the show. there is a cold case mystery plot but this really was more of a slice of life comedy with some melodrama thrown in. the ending was a little
bit abrupt but i think 16 episodes could have dragged so im overall satisfied.",8.0,https://i.mydramalist.com/x4yvAN_4t.jpg,8.1,"About the independence, growth, and friendship of the 'Bangpan Sisters', four women who started selling adult products door-to-door in a rural village in 1992, a time when “sex” was still taboo. It's a story of women who were ahead of their time when it was hard even to say the word 'sex', who somehow managed to bring a healthy dose of energy into the secretive world of couples and thrive on their own. (Source: Korean = Naver || Translation = MyDramaList) ~~ Remake of the British drama ""Brief Encounters"" [2016].","['Business', 'Comedy', 'Life']","['funny', 'sweet', 'show', 'full', 'friendship', 'female', 'empowerment', 'loved', 'sex', 'positivity', '90', 'nostalgia', 'friendship', 'four', 'main', 'woman', 'heartwarming', 'seeing', 'support', 'thick', 'thin', 'really', 'sweet', 'romance', 'fl', 'ml', 'also', 'sweet', 'liked', 'wasnt', 'main', 'focus', 'show', 'cold', 'case', 'mystery', 'plot', 'really', 'slice', 'life', 'comedy', 'melodrama', 'thrown', 'ending', 'little', 'bit', 'abrupt', 'think', '16', 'episode', 'could', 'dragged', 'im', 'overall', 'satisfied']",0.11646825396825397,,0.11727272727272728,,,0.11727272727272728,,,,,,,0.10833333333333331,,,0.08985906862745098,0.11727272727272728,,,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Alchemy of Souls,환혼,Can This Person Be Translated,2022,https://mydramalist.com/52939-can-this-person-be-translated,Some major highs and lows. Love the main couple and it’s an interesting story and has good world building. But some of the writing/plot is pretty bad and the ending was badly written and very deus ex machina. Fun watch tho. Will watch the second part.,8.5,https://i.mydramalist.com/Beg4z_4t.jpg,9.1,"In the fictional country of Daeho, young mages struggle to overcome twisted fates caused by the forbidden ""alchemy of souls,"" a spell that swaps souls between bodies. Naksu, an elite assassin, finds her soul trapped in the weak body of Mu Deok, a servant to the noble Jang Family. Jang Uk, the young master of the Jang Family, harbors a dark secret about his birth and seeks Naksu's help to change his destiny. (Source: MyDramaList)","['Action', 'Historical', 'Romance', 'Fantasy']","['major', 'high', 'low', 'love', 'main', 'couple', 'interesting', 'story', 'good', 'world', 'building', 'writingplot', 'pretty', 'bad', 'ending', 'badly', 'written', 'deus', 'ex', 'machina', 'fun', 'watch', 'tho', 'watch', 'second', 'part']",0.1162878787878788,,,,,,,,,,0.15590277777777778,,0.13875,0.1572172619047619,,0.08065476190476191,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alchemy of Souls Season 2: Light and Shadow,환혼 : 빛과 그림자,Alchemy Of Souls Part ,2022,https://mydramalist.com/733261-alchemy-of-souls-part-2,"Didn’t love the second season. A lot of the charm of s1 was missing. I missed Somin as the FL. The scene with Kim Doju and Park Jin was a major tearjerker, but glad that the season had a happy ending for everyone. Also had some very good kisses.",7.5,https://i.mydramalist.com/X06Rd_4t.jpg,8.9,"Jang Uk returns from death, and three years later, the story of the mages unfolds anew. Jang Uk becomes a hunter of the soul-shifters when a young woman, a prisoner in her own home, seeks his help to reclaim her freedom. (Source: Netflix)","['Action', 'Historical', 'Romance', 'Fantasy']","['didnt', 'love', 'second', 'season', 'lot', 'charm', 's1', 'missing', 'missed', 'somin', 'fl', 'scene', 'kim', 'doju', 'park', 'jin', 'major', 'tearjerker', 'glad', 'season', 'happy', 'ending', 'everyone', 'also', 'good', 'kiss']",0.3675,,0.3340625,,,,,,,,,,,,,0.5935416666666666,,,0.18375,0,1,0,0,0,0,1,0,0,0,0,0,0,0
All of Us Are Dead,지금 우리 학교는,Our School Now,2022,https://mydramalist.com/59449-our-school-now,"Some bright moments, but overall this drama was just okay. The dialogue and acting of the kids kind of felt flat for me and I wasn’t attached to any of them. But did have some good cliffhangers and action to keep me watching and I teared up at a couple moments.",7.0,https://i.mydramalist.com/WRQmX_4t.jpg,8.5,"A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected. (Source: Netflix) ~~ Adapted from the webtoon ""All of Us Are Dead"" (지금 우리 학교는) by Joo Dong Geun (주동근).","['Action', 'Thriller', 'Horror', 'Sci-Fi']","['bright', 'moment', 'overall', 'drama', 'okay', 'dialogue', 'acting', 'kid', 'kind', 'felt', 'flat', 'wasnt', 'attached', 'good', 'cliffhanger', 'action', 'keep', 'watching', 'teared', 'couple', 'moment']",0.3218750000000001,,0.38,,,,,,,,0.16093750000000004,,,,,,,0.37187500000000007,,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Be Melodramatic,멜로가 체질,The Nature Of A Melo,2019,https://mydramalist.com/26488-the-nature-of-a-melo,"This drama is so special. Every character has so much depth and is delightfully weird and complicated. Each relationship, even the side couples, is interesting and compelling in their own way. The main couple is surprisingly sweet and has a lot of chemistry. It might be one of my favorite romances ever. It was delightfully slow burn, but with depth and cuteness and humor. Gave me fanny flutters for sure.

The oppa scene made me laugh so hard. The whole fart episode was so funny. So many scenes made me cry. It’s so relatable but also so meta and and the plot truly kept me guessing the whole time. Each episode I was just along for this delightful, odd, heartwarming ride. 

The kiss scenes for the actress/manager couple were also fire and the OST was so good. A slow start at the beginning, and I initially dropped it, but I’m so glad I gave this drama another chance.",10.0,https://i.mydramalist.com/wnqent.jpg,8.3,"Im Jin Joo, Lee Eun Jung, and Hwang Han Joo are best friends who are 30-years-old. Hwang Han Joo is the head of a marketing team for a drama production company. She is a single mother who struggles to balance her work and personal life as she is raising a kid. Im Jin Joo is a drama writer with a lot of emotional ups and downs. Her personality is unique, talking to a luxurious purse at times. Even though she is a drama writer, she tries to write her scripts in a literary style. Lee Eun Jung is a documentary director. She runs her own production company, although she's the only employee. One of her documentaries surprisingly becomes popular overnight. (Source: MyDramaList)","['Comedy', 'Romance', 'Life', 'Melodrama']","['drama', 'special', 'every', 'character', 'much', 'depth', 'delightfully', 'weird', 'complicated', 'relationship', 'even', 'side', 'couple', 'interesting', 'compelling', 'way', 'main', 'couple', 'surprisingly', 'sweet', 'lot', 'chemistry', 'might', 'one', 'favorite', 'romance', 'ever', 'delightfully', 'slow', 'burn', 'depth', 'cuteness', 'humor', 'gave', 'fanny', 'flutter', 'sure', 'oppa', 'scene', 'made', 'laugh', 'hard', 'whole', 'fart', 'episode', 'funny', 'many', 'scene', 'made', 'cry', 'relatable', 'also', 'meta', 'plot', 'truly', 'kept', 'guessing', 'whole', 'time', 'episode', 'along', 'delightful', 'odd', 'heartwarming', 'ride', 'kiss', 'scene', 'actressmanager', 'couple', 'also', 'fire', 'ost', 'good', 'slow', 'start', 'beginning', 'initially', 'dropped', 'im', 'glad', 'gave', 'drama', 'another', 'chance']",0.21106150793650794,,0.20653096903096904,,,,,,,,0.0823511904761905,0.0823511904761905,0.23021708683473388,,0.22876082251082253,,0.20910714285714288,,0.21663690476190475,1,1,0,1,1,1,1,1,0,0,1,0,1,0
