Title,Link,Review,Reviews_Clean,Polarity_Score,sentiment_female lead,sentiment_FL,sentiment_second female lead,sentiment_male lead,sentiment_ML,sentiment_second male lead,sentiment_cast,sentiment_main leads,sentiment_ensemble cast,sentiment_couple,sentiment_side couples,sentiment_plot,sentiment_story,sentiment_beginning,sentiment_ending,sentiment_romance,sentiment_acting,sentiment_kiss,romance,kiss,steamy,comedy,melodrama,wholesome,sad,slow burn,tropey,action,OST,bingeworthy,top,bad
18 Again,https://mydramalist.com/52941-eighteen-again,Beginning was a little too much of a direct copy from the American movie but then it diverges nicely. Lee do hyun really carries this show and I mostly watched it for him. Overall it’s really wholesome. Happy ending. A couple boring parts and could have been 12 eps but a pleasant watch overall.,"['beginning', 'little', 'much', 'direct', 'copy', 'american', 'movie', 'diverges', 'nicely', 'lee', 'hyun', 'really', 'carry', 'show', 'mostly', 'watched', 'overall', 'really', 'wholesome', 'happy', 'ending', 'couple', 'boring', 'part', 'could', '12', 'eps', 'pleasant', 'watch', 'overall']",0.16215277777777778,,,,,,,,,,0.07847222222222221,,,,0.08107638888888889,0.07847222222222221,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0
A Good Day to Be a Dog,https://mydramalist.com/49997-a-good-day-to-be-a-dog,i really liked this show at the beginning. the story line of them falling in love and her hiding her secret was all really fun and cute. but then the second half of the show pivoted to be about their past lives and the mountain god’s revenge plot and it lost me. the entire revenge ended up being a misunder which was just annoying. i ffw through some parts at the end. it felt like two different shows. had a few good kiss scenes tho.,"['really', 'liked', 'show', 'beginning', 'story', 'line', 'falling', 'love', 'hiding', 'secret', 'really', 'fun', 'cute', 'second', 'half', 'show', 'pivoted', 'past', 'life', 'mountain', 'god', 'revenge', 'plot', 'lost', 'entire', 'revenge', 'ended', 'misunder', 'annoying', 'ffw', 'part', 'end', 'felt', 'like', 'two', 'different', 'show', 'good', 'kiss', 'scene', 'tho']",0.06025641025641025,,,,,,,,,,,,0.03770833333333332,0.30763888888888885,0.30763888888888885,,,,0.030128205128205125,1,1,0,0,0,0,0,0,0,0,0,0,0,0
A Killer Paradox,https://mydramalist.com/729303-the-murderer-and-the-toy,"Started off strong, but then the focus shifted away from the main character to the detective and the other killer. it started to feel rushed like they were putting too much content into eight episodes. seems like they set it up for a second season, which i would probably watch because i like the main actor, but this drama wasn’t anything to write home about.","['started', 'strong', 'focus', 'shifted', 'away', 'main', 'character', 'detective', 'killer', 'started', 'feel', 'rushed', 'like', 'putting', 'much', 'content', 'eight', 'episode', 'seems', 'like', 'set', 'second', 'season', 'would', 'probably', 'watch', 'like', 'main', 'actor', 'drama', 'wasnt', 'anything', 'write', 'home']",0.14027777777777778,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A Love So Beautiful,https://mydramalist.com/63483-a-love-so-beautiful,Way too cheesy and all the characters are too childish and immature for me to be invested in them. Theme song was kinda catchy tho lol.,"['way', 'cheesy', 'character', 'childish', 'immature', 'invested', 'theme', 'song', 'kinda', 'catchy', 'tho', 'lol']",0.03333333333333336,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A Time Called You,https://mydramalist.com/689831-someday-or-one-day,"GAY SUBPLOT BETWEEN AHN HYO SEOP AND ROWOON?? i was shooketh.
that alone makes this a memorable
drama lol. but that aside, the story is really interesting and this was binge
material for sure. ahn hyeo seop was so cute in it, and the female lead had incredible range playing two diff characters. the time travel logic definitely needed work, and the ending didnt make a ton of sense (for ex: if the casette player and tape was destroyed in 1998, then why does jun-hee have it in the future?) but the focus was more on the romance and “destiny” than on the mechanics of time travel. id give anything for a rowoon/ahn hyo seop gay spin off tho!!!","['gay', 'subplot', 'ahn', 'hyo', 'seop', 'rowoon', 'shooketh', 'alone', 'make', 'memorable', 'drama', 'lol', 'aside', 'story', 'really', 'interesting', 'binge', 'material', 'sure', 'ahn', 'hyeo', 'seop', 'cute', 'female', 'lead', 'incredible', 'range', 'playing', 'two', 'diff', 'character', 'time', 'travel', 'logic', 'definitely', 'needed', 'work', 'ending', 'didnt', 'make', 'ton', 'sense', 'ex', 'casette', 'player', 'tape', 'destroyed', '1998', 'junhee', 'future', 'focus', 'romance', 'destiny', 'mechanic', 'time', 'travel', 'id', 'give', 'anything', 'rowoonahn', 'hyo', 'seop', 'gay', 'spin', 'tho']",0.4525390625000001,0.4894357638888889,,,0.4894357638888889,,,,,,,,0.43623342803030307,0.4924334490740741,,0.4476707175925927,0.6167495265151516,,,1,0,0,0,1,0,0,0,0,0,0,1,0,0
A Virtuous Business,https://mydramalist.com/766207-quiet-sales,"a funny and sweet show full of friendship and female empowerment. loved the sex positivity and the 90s nostalgia. the friendship of the four main women was so heartwarming and seeing them support each other through thick and thin was really sweet. the romance between the FL and ML was also sweet and i liked that it wasnt the main focus of the show. there is a cold case mystery plot but this really was more of a slice of life comedy with some melodrama thrown in. the ending was a little
bit abrupt but i think 16 episodes could have dragged so im overall satisfied.","['funny', 'sweet', 'show', 'full', 'friendship', 'female', 'empowerment', 'loved', 'sex', 'positivity', '90', 'nostalgia', 'friendship', 'four', 'main', 'woman', 'heartwarming', 'seeing', 'support', 'thick', 'thin', 'really', 'sweet', 'romance', 'fl', 'ml', 'also', 'sweet', 'liked', 'wasnt', 'main', 'focus', 'show', 'cold', 'case', 'mystery', 'plot', 'really', 'slice', 'life', 'comedy', 'melodrama', 'thrown', 'ending', 'little', 'bit', 'abrupt', 'think', '16', 'episode', 'could', 'dragged', 'im', 'overall', 'satisfied']",0.11646825396825397,,0.11727272727272728,,,0.11727272727272728,,,,,,,0.10833333333333331,,,0.08985906862745098,0.11727272727272728,,,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Alchemy of Souls,https://mydramalist.com/52939-can-this-person-be-translated,Some major highs and lows. Love the main couple and it’s an interesting story and has good world building. But some of the writing/plot is pretty bad and the ending was badly written and very deus ex machina. Fun watch tho. Will watch the second part.,"['major', 'high', 'low', 'love', 'main', 'couple', 'interesting', 'story', 'good', 'world', 'building', 'writingplot', 'pretty', 'bad', 'ending', 'badly', 'written', 'deus', 'ex', 'machina', 'fun', 'watch', 'tho', 'watch', 'second', 'part']",0.1162878787878788,,,,,,,,,,0.15590277777777778,,0.13875,0.1572172619047619,,0.08065476190476191,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alchemy of Souls Season 2: Light and Shadow,https://mydramalist.com/733261-alchemy-of-souls-part-2,"Didn’t love the second season. A lot of the charm of s1 was missing. I missed Somin as the FL. The scene with Kim Doju and Park Jin was a major tearjerker, but glad that the season had a happy ending for everyone. Also had some very good kisses.","['didnt', 'love', 'second', 'season', 'lot', 'charm', 's1', 'missing', 'missed', 'somin', 'fl', 'scene', 'kim', 'doju', 'park', 'jin', 'major', 'tearjerker', 'glad', 'season', 'happy', 'ending', 'everyone', 'also', 'good', 'kiss']",0.3675,,0.3340625,,,,,,,,,,,,,0.5935416666666666,,,0.18375,0,1,0,0,0,0,1,0,0,0,0,0,0,0
All of Us Are Dead,https://mydramalist.com/59449-our-school-now,"Some bright moments, but overall this drama was just okay. The dialogue and acting of the kids kind of felt flat for me and I wasn’t attached to any of them. But did have some good cliffhangers and action to keep me watching and I teared up at a couple moments.","['bright', 'moment', 'overall', 'drama', 'okay', 'dialogue', 'acting', 'kid', 'kind', 'felt', 'flat', 'wasnt', 'attached', 'good', 'cliffhanger', 'action', 'keep', 'watching', 'teared', 'couple', 'moment']",0.3218750000000001,,0.38,,,,,,,,0.16093750000000004,,,,,,,0.37187500000000007,,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Be Melodramatic,https://mydramalist.com/26488-the-nature-of-a-melo,"This drama is so special. Every character has so much depth and is delightfully weird and complicated. Each relationship, even the side couples, is interesting and compelling in their own way. The main couple is surprisingly sweet and has a lot of chemistry. It might be one of my favorite romances ever. It was delightfully slow burn, but with depth and cuteness and humor. Gave me fanny flutters for sure.

The oppa scene made me laugh so hard. The whole fart episode was so funny. So many scenes made me cry. It’s so relatable but also so meta and and the plot truly kept me guessing the whole time. Each episode I was just along for this delightful, odd, heartwarming ride. 

The kiss scenes for the actress/manager couple were also fire and the OST was so good. A slow start at the beginning, and I initially dropped it, but I’m so glad I gave this drama another chance.","['drama', 'special', 'every', 'character', 'much', 'depth', 'delightfully', 'weird', 'complicated', 'relationship', 'even', 'side', 'couple', 'interesting', 'compelling', 'way', 'main', 'couple', 'surprisingly', 'sweet', 'lot', 'chemistry', 'might', 'one', 'favorite', 'romance', 'ever', 'delightfully', 'slow', 'burn', 'depth', 'cuteness', 'humor', 'gave', 'fanny', 'flutter', 'sure', 'oppa', 'scene', 'made', 'laugh', 'hard', 'whole', 'fart', 'episode', 'funny', 'many', 'scene', 'made', 'cry', 'relatable', 'also', 'meta', 'plot', 'truly', 'kept', 'guessing', 'whole', 'time', 'episode', 'along', 'delightful', 'odd', 'heartwarming', 'ride', 'kiss', 'scene', 'actressmanager', 'couple', 'also', 'fire', 'ost', 'good', 'slow', 'start', 'beginning', 'initially', 'dropped', 'im', 'glad', 'gave', 'drama', 'another', 'chance']",0.21106150793650794,,0.20653096903096904,,,,,,,,0.0823511904761905,0.0823511904761905,0.23021708683473388,,0.22876082251082253,,0.20910714285714288,,0.21663690476190475,1,1,0,1,1,1,1,1,0,0,1,0,1,0
